id ,name,price_origin,price_discount,inventory,sold_qty,description,discount_id,manufacturer_id,category_id
11,"Màn hình Philips 272E1GSJ 27"" 144Hz Freesync",4890000,4890000,,,Màn hình Philips 272E1GSJ 27 inch 144Hz Freesync là hiện thân của sự hoàn hảo khi được tích hợp nhiều tính năng nổi bật và công nghệ tiên tiến giúp cải thiện trải nghiệm người dùng. Dù chơi game hay văn phòng thì Philips 272E1GSJ vẫn có thể đáp ứng tốt nhu cầu của bạn.,,6,3
12,"Màn hình LG 27GN60R-B UltraGear 27"" IPS 144Hz Gsync compatible",5790000,5790000,,,"Màn hình LG 27GN60R-B UltraGear là dòng màn hình gaming được LG giới thiệu tại thị trường Việt Nam, sở hữu tỉ lệ màn hình 16:9 lý tưởng cho công việc và mang lại không gian làm việc lớn hơn. Đồng thời, LG 27GN60R-B UltraGear cũng được trang bị công nghệ HDR 10 tiên tiến nhằm mang lại những trải nghiệm tuyệt vời cho người dùng.",,7,3
13,"Màn hình Dell S2721HN 27"" IPS 75Hz viền mỏng",6390000,6390000,,,"Sở hữu thiết kế mỏng nhẹ, viền cực kỳ mỏng giúp chiếc màn hình Dell S2721HN thêm phần sang trọng. Với kích thước màn hình 27 inch trên tấm nền IPS, Dell S2721HN mang đến khả năng hiển thị hình ảnh rộng lớn, sắc nét.",,8,3
14,"Màn hình AOC 27B1H 27"" IPS Ultraslim chuyên game",4490000,4490000,,,Bạn đang tìm kiếm một màn hình có thể đáp ứng đầy đủ các nhu cầu làm việc của mình mà có mức giá phải chăng cùng kích thước lớn. Màn hình máy tính AOC 27B1H/74 chắc chắn sẽ là sự lựa chọn không thể tuyệt vời hơn.,,9,3
15,"Màn hình Asus TUF GAMING VG249Q1A 24"" IPS 165Hz Gsync compatible chuyên game",6390000,6390000,,,"Màn hình Asus TUF GAMING VG249Q1A sử dụng tấm nền IPS 23,8 inch, độ phân giải Full HD (1920 X 1080) mang đến hình ảnh rõ nét từ mọi góc độ. Màn hình góc rộng 178 độ đảm bảo hạn chế thấp nhất sự biến dạng và thay đổi màu sắc ngay cả khi bạn đang đứng cách xa màn hình.",,2,3
16,"Màn hình ViewSonic VX2405-P-MHD 24"" IPS 144Hz 1ms chuyên game",5690000,5690000,,,Màn hình ViewSonic VX2405-P-MHD sở hữu kích thước 24 inch được thiết kế riêng dành cho game thủ. Tấm nền IPS mang lại hiệu suất màn hình tốt nhất với góc nhìn cực rộng. Độ phân giải 1920x1080 sống động kết hợp với thiết kế khung không viền mang đến trải nghiệm chơi game cực kỳ phong phú.,,11,3
17,"Màn hình ViewSonic VA2432-H 24"" IPS 75Hz viền mỏng",4550000,4550000,,,"Màn hình ViewSonic được thiết kế không khung viền, giúp bạn dễ dàng ghép nhiều màn hình với nhau để làm việc.",,11,3
18,"Màn hình ViewSonic VA2732-H 27"" IPS 75Hz viền mỏng",4590000,4590000,,,"Tận hưởng màu sắc sống động phong phú và độ sáng nhất quán bất kể vị trí thuận lợi. Với công nghệ tấm nền SuperClear® IPS, màn hình mang lại chất lượng hình ảnh phù hợp với thời tiết mà bạn đang nhìn từ phía trên, bên dưới, bên cạnh hoặc phía trước màn hình.",,11,3
19,"Màn hình LG 24GN650-B 24"" IPS 144Hz HDR10 Freesync chuyên game",6090000,6090000,,,"Màn hình chơi game LG Gaming Ultragear 24 24GN650-B là màn hình chất lượng dành cho các game thủ. Màn hình với thiết kế công thai học cùng nhiều tính năng, công nghệ giúp tập trung vào trải nghiệm chơi game, mang đến những trận chiến đỉnh cao.",,7,3
20,"Màn hình ACER KA272 27"" IPS 75Hz",4690000,4690000,,,"Màn hình ACER KA272 27"" IPS 75Hz là màn hình máy tính phân khúc Entry-level. Sở hữu các tính năng hữu ích, ACER KA272 sẽ mang đến cho người dùng trải nghiệm tuyệt vời. Với kích thước màn hình hiển thị phổ biến cùng với công nghệ ZeroFrame, đây chắc chắn sẽ là best-choice cho gia đình và văn phòng.",,12,3
21,Chuột Logitech G402 Hyperion,999000,999000,,,"Sản phẩm G402 sở hữu tốc độ quét lên tới 500 IPS, sử dụng công nghệ cảm biến mới nhất của Logitech là Fusion Engine cho độ chính xác cực cao khi sử dụng. Theo lời đội ngũ phát triển và nghiên cứu của Logitech, G402 hiện là chuột chơi game có tốc độ IPS nhanh nhất. Đôi khi phản xạ của game thủ có thể nhanh hơn khả năng nhận biết của chuột nhưng với Hyperion thì chuyện đó đã chỉ là dĩ vãng.",,1,2
22,Chuột Logitech G502 X Plus LightSpeed White,3890000,3890000,,,"Chuột Logitech G502 X PLUS White là sản phẩm mới nhất của series G502 đình đám. Được thiết kế lại và cải tiến với công nghệ chơi game hiện đại, bao gồm công tắc Lightforce lai quang học - cơ học đầu tiên, Lightspeed không dây, LIGHT SYNC RGB và cảm biến quang học Hero 25K, Logitech G502 X PLUS chắc chắn là một trong những gaming gear đáng mua nhất cho game thủ thời gian sắp tới.",,1,2
23,Chuột Razer Basilisk Ultimate,4530000,4530000,,,"Razer Basilisk Ultimate sở hữu tốc độ cao và độ ổn định cao hơn 25% so với tất cả các dòng chuột gaming không dây khác. Điều này đồng nghĩa mọi thao tác của bạn cùng chuột Razer Basilisk X HyperSpeed sẽ nhanh hơn đối thủ tới 25%, giúp bạn chiếm ưu thế lớn hơn.",,13,2
24,Chuột Razer Deathadder Essential White,1290000,1290000,,,"Chuột gaming DeathAdder Essential White được Razer thiết kế với kiểu dáng công thái học (Ergonomic) cổ điển. Thiết kế đẹp mắt và khác biệt ở các dòng chuột máy tính khác tạo ra sự thoải mái, cho phép người chơi duy trì mức hiệu suất cao trong suốt thời gian chơi game dài, vì vậy bạn sẽ không bao giờ bị ngập ngừng trong các trận chiến nóng bỏng.",,13,2
25,Chuột Corsair Sabre RGB Pro Wireless,2690000,2690000,,,"Corsair Sabre RGB Pro Wireless đã được thiết kế và thử nghiệm bởi các game thủ chuyên nghiệp hàng đầu. Trọng lượng siêu nhẹ, chỉ 79g và được trang bị công nghệ điều khiển không dây sử dụng vô tuyến độc quyền Corsair Slipstream.

Corsair Sabre RGB Pro Wireless được đánh giá là dòng chuột máy tính mang đến khả năng phản hồi siêu nhanh, siêu nhạy và mang lại cảm giác chơi game tuyệt vời cho các game thủ.",,14,2
26,Chuột không dây Corsair DarkCore RGB Pro Wireless,2390000,2390000,,,"Mouse Wireless Corsair DARK CORE RGB PRO tự hào có ba cách để kết nối : Công nghệ SLIPSTREAM WIRELESS dưới 1 ms, công nghệ không dây Bluetooth có độ trễ thấp hoặc cáp USB. Cho phép bạn tùy chỉnh cách kêt nối theo sở thích.",,14,2
27,Chuột SteelSeries Aerox 9 Wireless,3290000,3290000,,,SteelSeries Aerox 9 Wireless là một trong những sản phẩm gaming sở hữu thiết kế chuột công thái học mang đến cảm giác thoải mái cho người dùng trong nhiều giờ liền. Nếu bạn đang tìm cho giải pháp khi sử dụng chuột máy tính trong nhiều giờ liền mà không mỏi cổ tay thì đây sẽ là sự lựa chọn bạn không nên bỏ qua.,,5,2
28,Chuột Steelseries Aerox 3 Wireless Snow Edition,2290000,2290000,,,"Lightweight hay mỏng nhẹ, xu hướng thiết kế mới dành cho chuột máy tính. Nay đã được Steelseries đã mang lên dòng sản phẩm chuột wireless Aerox 3 của mình. Chúng ta sẽ đến ngay với phiên bản Steelseries Aerox 3 Wireless Snow Edition thuần khiết với màu trắng ngay sau đây.",,5,2
29,Chuột Cooler Master MM710 Black,1190000,1190000,,,Một phong cách “tổ ong nhiều lỗ” đầy mới lạ! Cooler Master đang dần trở lại với những sản phẩm chuột chơi game nhẹ nhất thế giới! ,,15,2
30,Chuột Cooler Master MM730 White,1000000,1000000,,,"Cooler Master MM730 White mang đến sản phẩm chuột chơi game tối ưu tốc độ phản hồi mà các game thủ đang tìm kiếm. Thiết kế vừa vặn, trọng lượng nhẹ thoải mái trong từng lượt di chuột trên mặt bàn. ",,15,2
31,Tai nghe Gaming Logitech G Pro Gen 2,2900000,2900000,,,"Tai nghe Logitech G đầu tiên có tên gọi PRO (CHUYÊN NGHIỆP) được thiết kế dưới sự hợp tác với những chuyên gia hàng đầu thế giới. Được làm từ các vật liệu chất lượng cao nhất và có công nghệ tiên tiến, đem lại hiệu suất âm thanh không gì sánh được.",,1,4
32,Tai nghe Logitech G733 LIGHTSPEED Wireless Black,3990000,3990000,,,"Logitech G733 LIGHTSPEED Wireless Black dòng tai nghe máy tính được thiết kế mang đến sự thoải mái cho game thủ. Đây là mẫu tai nghe không dây được trang bị âm thanh lập thể, các bộ lọc âm thanh và tính năng chiếu sáng tiên tiến bạn cần để nhìn, nói và chơi phong cách hơn bao giờ hết.",,1,4
33,Tai nghe Corsair HS60 Pro Surround Yellow,1899000,1899000,,,Tai nghe game thủ HS60 Pro Surround Yellow là một trong những mẫu tai nghe máy tính với thiết kế sang trọng và được nâng cấp thêm USB Soundcard 7.1 từ Corsair.,,14,4
34,Tai nghe Corsair VOID RGB ELITE USB 7.1 - White,2490000,2490000,,,Tai nghe không dây chơi game Corsair VOID RGB ELITE USB 7.1 - White hỗ trợ người dùng nghe được hầu hết mọi thứ trong âm thanh vòm 7.1. Từ bước chân nhẹ nhất đến tiếng nổ lớn nhất nhờ trình điều khiển âm thanh neodymium mật độ cao 50mm được điều chỉnh tùy chỉnh với dải tần số mở rộng 20Hz-30.000Hz.,,14,4
35,Tai nghe Steelseries Arctis Prime,2950000,2950000,,,"Tai nghe máy tính với driver âm thanh độ chính xác cao thừa hưởng từ Arctis Pro, được tinh chỉnh để tối đa độ chính xác phù hợp với những trận game căng thẳng nhất. ",,5,4
36,Tai nghe không dây Steelseries Arctis 9 Wireless,5490000,5490000,,,"Tai nghe máy tính Steelseries Arctis 9 Wireless có thiết kế chắc chắn hơn những dòng tai nghe trước, không còn mang cảm giác mỏng manh mà cứng cáp hơn. Nhưng trọng lượng của chiếc tai nghe này khá nhẹ, nên không mang lại cảm giác nặng nề khi đeo quá lâu.",,5,4
37,Tai nghe HyperX Cloud Alpha Wireless,5119000,5119000,,,"Các bạn đang tìm cho mình một chiếc tai nghe gaming không dây vừa sở hữu chất âm ấn tượng, thiết kế cá tính, độ hoàn thiện cao, sở hữu nhiều công nghệ tích hợp tân tiến kèm theo đó là một thời lượng pin lâu dài? Tưởng sẽ khó có thể tìm được một sản phẩm hoàn hảo có thể đáp ứng đầy đủ những yếu tố kể trên nhưng không, HyperX cùng đội ngũ chuyên nghiệp của mình đã nghiên cứu, phát triển và cho ra mắt một chiếc tai nghe gaming tuyệt vời mang theo đầy đủ những ưu điểm vượt trội trên. Và đó không đâu khác chính là chiếc tai nghe HyperX Cloud Alpha Wireless.",,3,4
38,Tai nghe Gaming Rapoo VH160,590000,590000,,,"Rapoo VH160 là chiếc tai nghe máy tính chơi game lý tưởng mà mọi game thủ đang tìm kiếm. Phân khúc giá rẻ, thiết kế đẹp mắt kết hợp cùng âm thanh chất lượng hứa hẹn sẽ là sản phẩm tuyệt vời.",,15,4
39,Tai nghe DareU A710 RGB Wireless,1499000,1499000,,,Tai nghe máy tính là vật không thể thiếu của các game thủ trong những trận game đầy kịch tính. Sản phẩm tai nghe DareU A710 RGB Wireless đem lại trải nghiệm hấp dẫn với âm thành cực kỳ sống động khi dùng.,,15,4
40,Tai nghe Zidli ZH 7RB,490000,490000,,,"Zidli ZH 7RB là một trong những dòng sản phẩm tai nghe máy tính sở hữu hệ thống âm thanh giả lập 7.1 có âm thanh hay và độ chi tiết cao, âm trường rộng, dễ nghe và cho cảm giác sử dụng tốt theo thời gian dài nhờ ốp đệm đầu và ốp tai bằng da cao cấp, cảm giác đeo rộng rãi thoải mái mà không gây đau tai.",,15,4
41,Loa Logitech G560 LIGHTSYNC RGB,5490000,5490000,,,"Ánh sáng và màu sắc của loa Logitech G560 có thể đồng bộ với những gì diễn ra trên màn hình: giai điệu, âm thanh nhờ vào công nghệ Audio Visualizer mang lại cho bạn buổi trình diễn âm thanh với ánh sáng hoành tráng",,1,6
42,Loa Micolab MS212,470000,470000,,,"Được ra mắt với vai trò là loa máy tính, Microlab MS212 hứa hẹn sẽ trở thành một gaming gear đáng sở hữu cho những ai vừa muốn trang trí không gian chơi game của mình vừa muốn có một thiết bị âm thanh tuyệt vời. Sở hữu vẻ ngoài đơn giản nhưng vô cùng thanh lịch, Microlab MS212 hứa hẹn mang đến cho người dùng những trải nghiệm âm thanh sống động nhất.",,16,6
43,Loa Microlab M-108BT,720000,720000,,,"Loa Microlab M-108BT mang đến siêu phẩm loa để bàn ấn tượng. Hỗ trợ nhiều thể loại âm thanh khác nhau một cách sống động, kết nối không dây tiện lợi, tùy chỉnh âm thanh dễ dàng.",,16,6
44,Loa Microlab MS210,435000,435000,,,"Microlab MS210 là thiết bị loa audio có tính di động cao, thừa sức đánh bại dàn âm thanh từ laptop cũng như phát ra chất âm tuyệt vời cho bộ PC. Nhỏ gọn tiện lợi, thiết kế đẹp mắt hứa hẹn mang lại trải nghiệm hấp dẫn cho người dùng. ",,16,6
45,Loa Microlab X2,1490000,1490000,,,"Microlab X2 có thiết kế dạng hình khối khá tối giản chỉ gồm bề mặt trơn nhẵn cùng mặt loa dạng lưới và các nút điều chỉnh. Sản phẩm có thiết kế cả loa siêu trầm và 2 loa vệ tinh gọn gàng, mặt trước được làm dạng lưới in logo thương hiệu tạo điểm nhấn cho sản phẩm loa vi tính của mình, chân đế lớn giúp loa đứng vững vàng hơn trên bàn, kệ tủ, văn phòng làm việc của bạn.",,16,6
46,Loa SoundMax SB201,440000,440000,,,"SoundMax SB201 là thiết bị loa audio có tính di động cao, thừa sức đánh bại dàn âm thanh từ laptop cũng như phát ra chất âm tuyệt vời cho bộ PC. Nhỏ gọn tiện lợi, thiết kế đẹp mắt không chỉ mang lại trải nghiệm hấp dẫn cho người dùng mà còn tô điểm thêm góc làm việc ấn tượng. ",,17,6
47,Loa Soundmax SB202,395000,395000,,,"Soundmax SB202 dòng loa vi tính mang trong mình thiết kế hiện đại, bộ điều khiển đơn giản, hỗ trợ hệ thống LED độc đáo tạo nên không gian chơi game, làm việc ấn tượng. Âm thanh sống động, trong trẻo, rõ ràng nghe được nhiều thể loại nhạc.",,17,6
48,Loa SoundMax A180,390000,390000,,,"Loa SoundMax A180 hứa hẹn mang lại trải nghiệm âm thanh tuyệt vời trong một phân khúc loa giá rẻ hợp túi tiền với bất kỳ ai. Hệ thống đèn RGB đẹp mắt, thiết kế nhỏ gọn, âm thanh hài hòa là những gì mà người dùng mong đợi ở dòng loa vi tính này.",,17,6
49,Loa SoundMax SB212,1290000,1290000,,,"SoundMax SB212 sở hữu thiết kế hiện đại, tinh tế nhưng không kém phần sang trọng. Sở hữu chất âm lôi cuốn, trong trẻo, rõ ràng nghe được nhiều thể loại nhạc. Người chơi hoàn toàn có thể đặt loa vi tính SoundMax SB212 trong mọi không gian học tập, làm việc và giải trí để tăng thêm cảm hứng sáng tạo trong công việc và nâng cao nhu cầu giải trí.",,17,6
50,Loa SoundMax A600/2.1,500000,500000,,,"Soundmax A600 dòng loa vi tính với thiết kế độc đáo kết hợp cùng hệ thống led RGB tạo nên không gian chơi game ấn tượng. Sở hữu hệ thống âm thanh 3 loa chất lượng 1 loa siêu trầm Subwoofer và 2 loa vệ tinh nhỏ gọn, xinh xắn.",,17,5
51,Laptop Dell Vostro 3520 V5I3614W1 Gray,15490000,15490000,,,ể xử lý được mọi tác vụ từ học tập cho đến chơi game giải trí Laptop Dell Vostro 3520 V5I3614W1 được trang bị bộ xử lý CPU Intel Core i3 - 1215U mạnh mẽ. Xung nhịp tối đa lên đến 4.4GHz sẵn sàng giải quyết các yêu cầu văn phòng cơ bản đến nâng cao. ,,8,5
52,Laptop Dell Inspiron 15 3520 i3U082W11BLU,15190000,15190000,,,"Tùy theo nhiều nhu cầu khác nhau mà có nhiều dòng sản phẩm laptop Dell khác nhau. Nếu bạn đang tìm một chiếc laptop phục vụ cho nhu cầu học tập và làm việc hằng ngày thì Dell Inspiron 15 3520 i3U082W11BLU sẽ là người bạn đồng hành cực tốt. cấu hình mạnh mẽ trên thiết kế đơn giản mang lại hiệu năng giải quyết mọi công việc mượt mà, nhanh chóng. ",,8,5
53,Laptop Dell Inspiron 15 3520 N5I5122W1 Black,16790000,16790000,,,"Tùy theo nhiều nhu cầu khác nhau mà có nhiều dòng sản phẩm laptop Dell khác nhau. Nếu bạn đang tìm một chiếc laptop phục vụ cho nhu cầu học tập và làm việc hằng ngày thì Dell Inspiron 15 3520 N5I5122W1 Black sẽ là người bạn đồng hành cực tốt. cấu hình mạnh mẽ trên thiết kế đơn giản mang lại hiệu năng giải quyết mọi công việc mượt mà, nhanh chóng. ",,8,5
54,Laptop Asus Vivobook 15 X515EA BR2045W,11490000,11490000,,,"Asus Vivobook 15 X515EA BR2045W là chiếc laptop giá rẻ phù hợp cho việc học tập và làm việc hằng ngày. Cấu hình ổn định, thiết kế hoàn thiện hứa hẹn sẽ mang đến những trải nghiệm phù hợp với người dùng.",,2,5
55,Laptop Asus Vivobook 15 X515EA EJ3633W,12000000,12000000,,,"Asus Vivobook 15 X515EA EJ3633W là chiếc laptop giá rẻ phù hợp cho việc học tập và làm việc hằng ngày. Cấu hình ổn định, thiết kế hoàn thiện hứa hẹn sẽ mang đến những trải nghiệm phù hợp với người dùng.",,2,5
56,Laptop Asus Vivobook 15X OLED A1503ZA L1152W,16990000,16900000,,,Asus Vivobook 15X OLED A1503ZA L1152W mang lại trải nghiệm hình ảnh tốt hơn với trang bị màn hình OLED. Thiết kế mỏng nhẹ cùng cấu hình mạnh mẽ cho phép người dùng nâng cao hiệu suất khi làm việc.,,2,5
57,Laptop Asus VivoBook M513UA EJ710W,15290000,15290000,,,"Là một trong những dòng laptop mỏng nhẹ có hiệu năng cao, thiết kế đẹp mắt, laptop Asus Vivobook M513UA EJ710W từ khi ra mắt đã là một trong những mẫu laptop mà dân văn phòng không thể bỏ qua. Sở hữu cấu hình mạnh mẽ với thiết kế văn phòng, Vivobook M513UA EJ710W không chỉ có thể đáp ứng các tác vụ cơ bản mà còn cả nhu cầu thiết kế đồ họa lẫn lập trình.",,2,5
58,Laptop HP Pavilion 15 EG2063TU 6K791PA,13000000,13000000,,,"Laptop HP Pavilion 15 EG2063TU 6K791PA là một chiếc laptop mỏng nhẹ, phổ thông mang vẻ đẹp hút mắt và tạo ấn tượng đối với khách hàng như học sinh - sinh viên, nhân viên văn phòng. Vậy HP Pavilion 15 mang đến cho người sử dụng những gì? Cùng GEARVN tìm hiểu nào.",,18,5
59,Laptop HP Pavilion 15 EG0513TU 46M12PA,10000000,10000000,,,"Laptop HP Pavilion 15 EG0513TU 46M12PA là mẫu laptop cho sinh viên, nhân viên văn phòng tầm trung rất được chú ý bởi thiết kế và hiệu năng mạnh mẽ của mình.",,18,5
60,Laptop HP 14s DQ5053TU 6R9M6PA,11350000,13500000,,,Laptop HP 14s DQ5053TU 6R9M6PA là một chiếc laptop văn phòng mang vẻ đẹp hút mắt và tạo ấn tượng đối với khách hàng. Thiết kế trong từng chi tiết máy tính đều được trau chuốt và sắp đặt kĩ lượng để bộc lộ hết vẻ đẹp hiện đại và thời thượng của laptop. ,,18,5
